game_id,game,date,time,round,phase,season_code,score_a,score_b,team_a,team_b,team_id_a,team_id_b,coach_a,coach_b,game_time,remaining_partial_time,referee_1,referee_2,referee_3,stadium,capacity,w_id,fouls_a,fouls_b,timeouts_a,timeouts_b,score_quarter_1_a,score_quarter_2_a,score_quarter_3_a,score_quarter_4_a,score_quarter_1_b,score_quarter_2_b,score_quarter_3_b,score_quarter_4_b,score_extra_time_1_a,score_extra_time_2_a,score_extra_time_3_a,score_extra_time_4_a,score_extra_time_1_b,score_extra_time_2_b,score_extra_time_3_b,score_extra_time_4_b
U2016_050,SKO-CAN,2016-11-09,19:00:00,5,REGULAR SEASON,U2016,75,98,MZT SKOPJE AERODROM,HERBALIFE GRAN CANARIA LAS PALMAS,SKO,CAN,JONCHEVSKI ALEKSANDAR,PALOMO LUIS CASIMIRO,40:00,00:00,"LAMONICA, LUIGI","OVINOV, SEMEN","RADOJKOVIC, JOSIP",JANE SANDANSKI,3000,80,18,16,3,1,17,33,55,75,24,51,69,98,,,,,,,,
U2016_051,CED-NOV,2016-11-09,19:00:00,5,REGULAR SEASON,U2016,92,77,CEDEVITA ZAGREB,NIZHNY NOVGOROD,CED,NOV,VELJKO MRSIC,ARTURS STALBERGS,40:00,00:00,"SHEMMESH, SEFFI","REITER, MORITZ","SILVA, SERGIO",DOM SPORTOVA ZAGREB,1000,80,15,20,3,4,23,42,59,92,33,52,66,77,,,,,,,,
U2016_053,BIL-KHI,2016-11-09,20:30:00,5,REGULAR SEASON,U2016,72,91,RETABET BILBAO BASKET,KHIMKI MOSCOW REGION,BIL,KHI,CARLES DURAN,DUSKO IVANOVIC,40:00,00:00,"BISSANG, JOSEPH","FRITZ, CLEMENS","MITROVSKI, IGOR",LA CASILLA,4430,80,26,25,5,3,19,34,52,72,25,51,74,91,,,,,,,,
U2016_054,LIE-FUE,2016-11-09,18:00:00,5,REGULAR SEASON,U2016,101,84,LIETUVOS RYTAS VILNIUS,MONTAKIT FUENLABRADA,LIE,FUE,"PACESAS, TOMAS","CUSPINERA DIEGUEZ, JOSE RAMON",40:00,00:00,"PAPAPETROU, PETROS","BAUMANIS, INGUS","TRAWICKI, TOMASZ",SIEMENS ARENA,5730,80,21,25,5,3,30,63,86,101,16,43,63,84,,,,,,,,
U2016_055,MAL-DYR,2016-11-09,20:45:00,5,REGULAR SEASON,U2016,93,86,UNICAJA MALAGA,ZENIT ST PETERSBURG,MAL,DYR,"PLAZA, JOAN","KARASEV, VASILY",40:00,00:00,"VYKLICKY, ROBERT","HERCEG, SINISA","MAJKIC, MARIO",MARTIN CARPENA,4732,80,18,23,1,4,24,49,66,93,19,45,59,86,,,,,,,,
U2016_057,BUD-MUN,2016-11-09,19:00:00,5,REGULAR SEASON,U2016,44,68,BUDUCNOST VOLI PODGORICA,FC BAYERN MUNICH,BUD,MUN,"SCEPANOVIC, VLADO","DJORDJEVIC, ALEKSANDAR",40:00,00:00,"PERUGA, CARLOS","ROMANO, DAVID","PEERANDI, RAIN",MORACA,3200,80,18,22,3,3,12,17,30,44,21,31,50,68,,,,,,,,
U2016_059,TIV-PAM,2016-11-09,18:30:00,5,REGULAR SEASON,U2016,64,73,LOKOMOTIV KUBAN KRASNODAR,VALENCIA BASKET,TIV,PAM,KATSIKARIS FOTIS,MARTINEZ PEDRO,40:00,00:00,"KOWALSKI, MARCIN","JURAS, MARKO","KOLJENSIC, MILOS",BASKET HALL,5047,80,27,20,4,2,17,34,47,64,17,33,54,73,,,,,,,,
U2016_060,ULM-JER,2016-11-09,20:00:00,5,REGULAR SEASON,U2016,103,77,RATIOPHARM ULM,HAPOEL BANK YAHAV JERUSALEM,ULM,JER,"LEIBENATH, THORSTEN","PIANIGIANI, SIMONE",40:00,00:00,"PEREZ PIZARRO, EMILIO","DRAGOJEVIC, IGOR","RODSAND, TORKILD",RATIOPHARM ARENA,5000,80,22,23,1,4,25,53,76,103,19,37,52,77,,,,,,,,
U2016_062,CED-CAN,2016-11-16,19:00:00,6,REGULAR SEASON,U2016,97,90,CEDEVITA ZAGREB,HERBALIFE GRAN CANARIA LAS PALMAS,CED,CAN,VELJKO MRSIC,LUIS CASIMIRO PALOMO,40:00,00:00,"MANTYLA, PETRI","VYKLICKY, ROBERT","ROMANO, DAVID",DOM SPORTOVA ZAGREB,1300,80,21,25,3,4,24,46,67,97,19,48,74,90,,,,,,,,
U2016_063,SKO-LKB,2016-11-16,19:00:00,6,REGULAR SEASON,U2016,80,87,MZT SKOPJE AERODROM,LIETKABELIS PANEVEZYS,SKO,LKB,KRSTEVSKI GORAN,MAKSVYTIS KAZYS,40:00,00:00,"CORTES, CARLOS","REITER, MORITZ","VAN DEN BROECK, NICK",JANE SANDANSKI,515,80,20,28,5,3,20,32,49,80,21,46,62,87,,,,,,,,
