,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,dist,fk,g-xg,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,np:g-xg,npxg,npxg/sh,year,team
33,2022-03-10,21:00,Europa Lg,Round of 16,Thu,Away,L,2.0,3.0,it Atalanta,0.5,1.7,54.0,13134.0,Lukáš Hrádecký,4-2-3-1,Srđan Jovanović,Match Report,Leg 1 of 2,20.1,1.0,1.5,0.29,1.0,2.0,0.0,0.0,7.0,2.0,28.6,1.5,0.5,0.07,2021,Bayer Leverkusen
34,2022-03-13,15:30,Bundesliga,Matchweek 26,Sun,Home,L,0.0,1.0,Köln,2.4,0.5,55.0,22658.0,Lukáš Hrádecký,4-2-3-1,Sascha Stegemann,Match Report,,16.9,2.0,-2.4,0.0,0.0,0.0,0.0,0.0,15.0,3.0,20.0,-2.4,2.4,0.16,2021,Bayer Leverkusen
35,2022-03-17,18:45,Europa Lg,Round of 16,Thu,Home,L,0.0,1.0,it Atalanta,1.5,1.2,63.0,19871.0,Lukáš Hrádecký,3-4-1-2,François Letexier,Match Report,Leg 2 of 2; Atalanta won,18.1,0.0,-1.5,0.0,0.0,0.0,0.0,0.0,16.0,3.0,18.8,-1.5,1.5,0.1,2021,Bayer Leverkusen
36,2022-03-20,17:30,Bundesliga,Matchweek 27,Sun,Away,W,2.0,0.0,Wolfsburg,1.0,1.1,50.0,16554.0,Lukáš Hrádecký,3-4-1-2,Felix Brych,Match Report,,19.9,1.0,1.0,0.13,0.4,2.0,0.0,0.0,15.0,5.0,33.3,1.0,1.0,0.07,2021,Bayer Leverkusen
37,2022-04-02,15:30,Bundesliga,Matchweek 28,Sat,Home,W,2.0,1.0,Hertha BSC,1.5,0.8,68.0,23557.0,Lukáš Hrádecký,4-2-3-1,Matthias Jöllenbeck,Match Report,,15.7,1.0,0.5,0.11,0.33,2.0,0.0,0.0,19.0,6.0,31.6,0.5,1.5,0.08,2021,Bayer Leverkusen
38,2022-04-10,15:30,Bundesliga,Matchweek 29,Sun,Away,D,0.0,0.0,Bochum,1.4,0.7,59.0,25000.0,Lukáš Hrádecký,4-2-3-1,Felix Zwayer,Match Report,,19.8,0.0,-1.4,0.0,0.0,0.0,0.0,1.0,9.0,2.0,22.2,-0.6,0.6,0.07,2021,Bayer Leverkusen
39,2022-04-17,19:30,Bundesliga,Matchweek 30,Sun,Home,L,0.0,1.0,RB Leipzig,0.8,0.5,47.0,26119.0,Lukáš Hrádecký,5-3-2,Daniel Siebert,Match Report,,17.9,0.0,-0.8,0.0,0.0,0.0,0.0,0.0,12.0,4.0,33.3,-0.8,0.8,0.06,2021,Bayer Leverkusen
40,2022-04-23,15:30,Bundesliga,Matchweek 31,Sat,Away,W,4.0,1.0,Greuther Fürth,2.5,0.9,48.0,11579.0,Lukáš Hrádecký,4-2-2-2,Tobias Reichel,Match Report,,13.8,0.0,1.5,0.44,0.8,4.0,0.0,0.0,9.0,5.0,55.6,1.5,2.5,0.28,2021,Bayer Leverkusen
41,2022-05-02,20:30,Bundesliga,Matchweek 32,Mon,Home,W,2.0,0.0,Eint Frankfurt,1.8,0.3,55.0,26492.0,Lukáš Hrádecký,4-2-3-1,Benjamin Cortus,Match Report,,11.5,0.0,0.2,0.18,0.67,2.0,0.0,0.0,11.0,3.0,27.3,0.2,1.8,0.16,2021,Bayer Leverkusen
42,2022-05-07,15:30,Bundesliga,Matchweek 33,Sat,Away,W,4.0,2.0,Hoffenheim,4.0,2.5,53.0,20033.0,Lukáš Hrádecký,4-2-3-1,Frank Willenborg,Match Report,,12.4,0.0,0.0,0.25,0.5,4.0,0.0,0.0,16.0,8.0,50.0,0.0,4.0,0.25,2021,Bayer Leverkusen
