,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,dist,fk,g-xg,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,np:g-xg,npxg,npxg/sh,year,team
28,2023-08-24,21:30,Libertadores,Quarter-finals,Thu,Home,W,2.0,0.0,py Olimpia,1.5,0.1,69.0,64047.0,Nino,4-1-3-2,Andrés Matonte,Match Report,Leg 1 of 2,18.3,0.0,0.5,0.11,0.33,2.0,0.0,0.0,18.0,6.0,33.3,0.5,1.5,0.09,2023,Fluminense
29,2023-08-27,18:30,Série A,Matchweek 21,Sun,Away,D,2.0,2.0,Ath Paranaense,3.0,0.8,71.0,23630.0,David Braz,3-4-3,Raphael Claus,Match Report,,18.7,1.0,-1.0,0.09,0.2,2.0,0.0,0.0,23.0,10.0,43.5,-1.0,3.0,0.13,2023,Fluminense
30,2023-08-31,20:30,Libertadores,Quarter-finals,Thu,Away,,,,py Olimpia,,,,,,,,Head-to-Head,Leg 2 of 2; Fluminense 2:0 Olimpia,18.1,13.0,0.0,0.1,0.28,45.0,1.0,3.0,421.0,160.0,38.0,1.4,42.6,0.1,2023,Fluminense
31,2023-09-03,16:00,Série A,Matchweek 22,Sun,Home,,,,Fortaleza,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Fluminense
32,2023-09-16,16:00,Série A,Matchweek 23,Sat,Away,,,,Vasco da Gama,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Fluminense
33,2023-09-20,21:30,Série A,Matchweek 24,Wed,Home,,,,Cruzeiro,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Fluminense
34,2023-09-30,,Série A,Matchweek 25,Sat,Away,,,,Cuiabá,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Fluminense
35,2023-10-07,,Série A,Matchweek 26,Sat,Home,,,,Botafogo (RJ),,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Fluminense
36,2023-10-18,,Série A,Matchweek 27,Wed,Home,,,,Corinthians,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Fluminense
37,2023-10-21,,Série A,Matchweek 28,Sat,Away,,,,Bragantino,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Fluminense
38,2023-10-25,,Série A,Matchweek 29,Wed,Home,,,,Goiás,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Fluminense
39,2023-10-28,,Série A,Matchweek 30,Sat,Away,,,,Atlético Mineiro,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Fluminense
40,2023-11-01,,Série A,Matchweek 31,Wed,Away,,,,Bahia,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Fluminense
