,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,dist,fk,g-xg,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,np:g-xg,npxg,npxg/sh,year,team
15,2023-04-29,14:00,Primera Div,Matchweek 14,Sat,Away,D,0.0,0.0,Vélez Sarsf,,,45.0,,Augusto Batalla,3-4-3,Hernán Mastrángelo,Match Report,,,,,0.0,0.0,0.0,0.0,0.0,12.0,3.0,25.0,,,,2023,San Lorenzo
16,2023-05-03,18:00,Sudamericana,Group stage,Wed,Away,D,0.0,0.0,cl Palestino,,,48.0,,Augusto Batalla,3-4-3,Carlos Betancourt,Match Report,,,,,0.0,0.0,0.0,0.0,0.0,8.0,3.0,37.5,,,,2023,San Lorenzo
17,2023-05-08,17:00,Primera Div,Matchweek 15,Mon,Home,D,0.0,0.0,Defensa y Just,,,47.0,,Augusto Batalla,3-4-3,Pablo Dóvalo,Match Report,,,,,0.0,0.0,0.0,0.0,0.0,11.0,3.0,27.3,,,,2023,San Lorenzo
18,2023-05-13,18:00,Primera Div,Matchweek 16,Sat,Away,W,2.0,1.0,Banfield,,,49.0,,Augusto Batalla,3-4-3,Fernando Echenique,Match Report,,,,,0.25,0.5,2.0,0.0,0.0,8.0,4.0,50.0,,,,2023,San Lorenzo
19,2023-05-20,14:00,Primera Div,Matchweek 17,Sat,Home,W,2.0,0.0,Instituto Atlético Central Córdoba,,,45.0,,Augusto Batalla,3-4-3,Nicolás Ramírez,Match Report,,,,,0.0,0.0,2.0,2.0,2.0,9.0,5.0,55.6,,,,2023,San Lorenzo
20,2023-05-24,19:00,Sudamericana,Group stage,Wed,Away,L,2.0,3.0,br Fortaleza,,,40.0,,Augusto Batalla,3-4-3,Gustavo Tejera,Match Report,,,,,0.18,0.29,2.0,0.0,0.0,11.0,7.0,63.6,,,,2023,San Lorenzo
21,2023-05-28,14:00,Primera Div,Matchweek 18,Sun,Away,L,0.0,1.0,Barracas Central,,,54.0,,Augusto Batalla,3-4-3,Pablo Echavarría,Match Report,,,,,0.0,0.0,0.0,0.0,0.0,10.0,4.0,40.0,,,,2023,San Lorenzo
22,2023-06-04,14:00,Primera Div,Matchweek 19,Sun,Home,D,0.0,0.0,Colón,,,52.0,,Augusto Batalla,3-4-3◆,Darío Herrera,Match Report,,,,,0.0,0.0,0.0,0.0,0.0,12.0,2.0,16.7,,,,2023,San Lorenzo
23,2023-06-08,21:00,Sudamericana,Group stage,Thu,Home,D,0.0,0.0,cl Palestino,,,60.0,14110.0,Nicolás Blandi,3-4-3,Diego Haro,Match Report,,,,,0.0,0.0,0.0,0.0,0.0,19.0,6.0,31.6,,,,2023,San Lorenzo
24,2023-06-12,17:00,Primera Div,Matchweek 20,Mon,Home,D,0.0,0.0,CC Córdoba,,,61.0,,Augusto Batalla,3-4-3,Jorge Baliño,Match Report,,,,,0.0,0.0,0.0,0.0,0.0,14.0,5.0,35.7,,,,2023,San Lorenzo
25,2023-06-21,19:00,Primera Div,Matchweek 21,Wed,Away,D,1.0,1.0,Estudiantes,,,37.0,,Augusto Batalla,3-4-3,Yael Falcón,Match Report,,,,,0.13,0.2,1.0,0.0,0.0,8.0,5.0,62.5,,,,2023,San Lorenzo
26,2023-06-27,19:00,Sudamericana,Group stage,Tue,Home,W,4.0,1.0,ve Estud Mérida,,,59.0,10088.0,Augusto Batalla,3-4-3,Gery Vargas,Match Report,,,,,0.16,0.33,4.0,1.0,1.0,19.0,9.0,47.4,,,,2023,San Lorenzo
27,2023-07-01,17:30,Primera Div,Matchweek 22,Sat,Home,W,1.0,0.0,Rosario Cent,,,38.0,,Augusto Batalla,3-4-3,Fernando Echenique,Match Report,,,,,0.09,0.33,1.0,0.0,0.0,11.0,3.0,27.3,,,,2023,San Lorenzo
