,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,dist,fk,g-xg,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,np:g-xg,npxg,npxg/sh,year,team
8,2023-10-01,,La Liga,Matchweek 8,Sun,Home,,,,Cádiz,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Atletico Madrid
9,2023-10-04,18:45,Champions Lg,Group stage,Wed,Home,,,,nl Feyenoord,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Atletico Madrid
10,2023-10-08,,La Liga,Matchweek 9,Sun,Home,,,,Real Sociedad,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Atletico Madrid
11,2023-10-22,,La Liga,Matchweek 10,Sun,Away,,,,Celta Vigo,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Atletico Madrid
12,2023-10-25,20:00,Champions Lg,Group stage,Wed,Away,,,,sct Celtic,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Atletico Madrid
13,2023-10-29,,La Liga,Matchweek 11,Sun,Home,,,,Alavés,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Atletico Madrid
14,2023-11-05,,La Liga,Matchweek 12,Sun,Away,,,,Las Palmas,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Atletico Madrid
15,2023-11-07,21:00,Champions Lg,Group stage,Tue,Home,,,,sct Celtic,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Atletico Madrid
16,2023-11-12,,La Liga,Matchweek 13,Sun,Home,,,,Villarreal,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Atletico Madrid
17,2023-11-26,,La Liga,Matchweek 14,Sun,Home,,,,Mallorca,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Atletico Madrid
18,2023-11-28,21:00,Champions Lg,Group stage,Tue,Away,,,,nl Feyenoord,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Atletico Madrid
19,2023-12-03,,La Liga,Matchweek 15,Sun,Away,,,,Barcelona,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Atletico Madrid
20,2023-12-10,,La Liga,Matchweek 16,Sun,Home,,,,Almería,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Atletico Madrid
