,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,dist,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,year,team
7,2023-05-24,19:00,Série B,Matchweek 8,Wed,Home,W,3.0,0.0,Atl Goianiense,46.0,2568.0,Nenê,4-2-3-1,Paulo Cesar Zanovelli da Silva,Match Report,,,0.3,0.5,3.0,0.0,0.0,10.0,6.0,60.0,2023,Juventude
8,2023-05-27,17:00,Série B,Matchweek 9,Sat,Away,W,2.0,1.0,CRB,51.0,2522.0,Nenê,4-2-3-1,Vinicius Gonçalves Dias Araujo,Match Report,,,0.13,0.33,2.0,0.0,0.0,15.0,6.0,40.0,2023,Juventude
9,2023-06-03,16:00,Série B,Matchweek 10,Sat,Home,W,3.0,2.0,Avaí,60.0,5197.0,Nenê,4-4-2◆,Bruno Mota Correia,Match Report,,,0.23,0.43,3.0,0.0,0.0,13.0,7.0,53.8,2023,Juventude
10,2023-06-08,16:00,Série B,Matchweek 11,Thu,Away,W,1.0,0.0,Criciúma,48.0,18223.0,Nenê,4-2-3-1,Maguielson Lima Barbosa,Match Report,,,0.1,0.33,1.0,0.0,0.0,10.0,3.0,30.0,2023,Juventude
11,2023-06-11,18:15,Série B,Matchweek 12,Sun,Home,L,1.0,2.0,Tombense Futebol Clube,65.0,2816.0,Nenê,4-2-3-1,Paulo Henrique Schleinch Vollkopf,Match Report,,,0.06,0.2,1.0,0.0,0.0,18.0,5.0,27.8,2023,Juventude
12,2023-06-22,21:30,Série B,Matchweek 13,Thu,Away,L,0.0,3.0,Sport Recife,59.0,14136.0,Nenê,4-2-3-1,Matheus Delgado Candançan,Match Report,,,0.0,0.0,0.0,0.0,0.0,13.0,2.0,15.4,2023,Juventude
13,2023-06-28,21:30,Série B,Matchweek 14,Wed,Away,W,2.0,1.0,Londrina,47.0,422.0,Nenê,4-2-3-1,Dyorgines José Padovani Andrade,Match Report,,,0.18,0.4,2.0,0.0,0.0,11.0,5.0,45.5,2023,Juventude
14,2023-07-02,15:30,Série B,Matchweek 15,Sun,Home,W,1.0,0.0,Vitória,50.0,5195.0,Nenê,4-2-3-1,Vinicius Gonçalves Dias Araujo,Match Report,,,0.06,0.33,1.0,0.0,0.0,17.0,3.0,17.6,2023,Juventude
15,2023-07-08,17:00,Série B,Matchweek 16,Sat,Away,D,1.0,1.0,Ituano,39.0,,Nenê,4-4-2,Luiz Augusto Silveira Tisne,Match Report,,,0.11,0.33,1.0,0.0,0.0,9.0,3.0,33.3,2023,Juventude
16,2023-07-15,11:00,Série B,Matchweek 17,Sat,Home,D,1.0,1.0,ABC,61.0,,Nenê,4-4-2,Maguielson Lima Barbosa,Match Report,,,0.0,0.0,1.0,1.0,1.0,19.0,4.0,21.1,2023,Juventude
17,2023-07-18,21:30,Série B,Matchweek 18,Tue,Away,D,0.0,0.0,Ponte Preta,53.0,,Nenê,4-2-3-1,Marielson Alves Silva,Match Report,,,0.0,0.0,0.0,0.0,0.0,16.0,3.0,18.8,2023,Juventude
